tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;17:10:00;DERBY;PRC DO DERBY;;SEMÁFORO 418;COLISÃO TRASEIRA;ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;17:40:00;CORDEIRO;AV INACIO MONTEIRO;556;EM FRENTE AO MERCADO TUDO DE BOM;ABALROAMENTO LONGITUDINAL;AUTO E M0TO S/V;1;1;;;;;;;;0;
COLISÃO;FINALIZADA;20/02/2019;17:40:00;BOA VIAGEM;RUA BALTAZAR PASSOS;;;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;18:14:00;ARRUDA;RUA MEM DE SA;;EM FRENTE A COCA-COLA;COLISÃO TRASEIRA;CELTA X AUTO;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;18:25:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;4255;INGA VINHO;COLISÃO TRASEIRA;;3;;;;;;;;;0;
COLISÃO;CANCELADA;20/02/2019;18:35:00;DOIS UNIDOS;RUA DA BELA VISTA;845;E/F A ANTIGA FABRICA DA MINERVA / ESQUINA COM A ASINHA DO TONHO  / AO LADO DO DIAGNÓSTICO CARDIACO;COLISÃO;ENTRE CAMINHÃO E ÕNIBUS. S/V;;;;;;1;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;20/02/2019;18:57:00;AREIAS;AV RECIFE;;;ABALROAMENTO LONGITUDINAL;ENTRE CAMINHÃO E AUTO. S/V;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;18:58:00;GRAÇAS;AV RUI BARBOSA;2015;SEMÁFORO126;COLISÃO TRASEIRA;3 VEICULOS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;20/02/2019;19:24:00;AREIAS;AV RECIFE;4200;RESIDENCIAL INES ANDREAZZA;COLISÃO TRASEIRA;ENTRE AUTO E MOTO. C/V;1;1;;;;;;;;1;
ABALROAMENTO TRANSVERSAL;FINALIZADA;20/02/2019;19:29:00;ILHA DO LEITE;AV GOVERNADOR AGAMENON MAGALHAES;2291;PISTA LATERAL PRÓXIMO AO MEMORIAL SAO JOSE;ABALROAMENTO TRANSVERSAL;CLASSIC X CAMINHAO;1;;;;;;1;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;20/02/2019;20:29:00;ILHA DO LEITE;AV GOVERNADOR AGAMENON MAGALHAES;4525;E/F AO INSTITUTO CERVANTES DO RECIFE, SNT OLINDA / PISTA LATERAL.;ABALROAMENTO TRANSVERSAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
COLISÃO;CANCELADA;20/02/2019;23:19:00;IBURA;RUA DR BENIGNO JORDAO DE VASCONCELOS;35;PRÓX AO MERCADO TREVO / E/F A LOJA CRISMA;COLISÃO;ENTRE AUTO E MOTO. C/V;1;1;;;;;;;;1;
COLISÃO;CANCELADA;21/02/2019;02:45:00;ILHA DO RETIRO;RUA SPORT CLUBE DO RECIFE;;E/F AO CLUB SPORT / SEMÁFORO 355 - GIRADOR DO SPORT;COLISÃO;ENTRE 2  AUTOS. S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;07:00:00;AFOGADOS;AV SUL;;EM FRENTE A CAIXA ECONOMICA FEDERAL;ABALROAMENTO LONGITUDINAL;SEM VITIMAS ,GRAVIDA DE NOVE MESES NO VEÍCULO;1;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;21/02/2019;07:15:00;SÃO JOSÉ;TRV DO RAPOSO;;;ABALROAMENTO TRANSVERSAL;SEM VÍTIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;07:18:00;TORRE;RUA CONDE DE IRAJA;;SEMÁFORO 106;ABALROAMENTO LONGITUDINAL;SEM VITIMAS,GM JULIERME  CTTU FAZENDO B.O;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;07:43:00;IPSEP;RUA PINTOR ANTONIO ALBUQUERQUE;;AO LADO DO POSTO SHELL;ABALROAMENTO LONGITUDINAL;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;08:14:00;IMBIRIBEIRA;RUA OLIVIA MENELAU;36;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM  VITIMAS;2;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;21/02/2019;08:09:00;BOA VIAGEM;AV BOA VIAGEM;634;;COLISÃO TRASEIRA;SEM VÍTIMAS;3;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;21/02/2019;08:13:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;7935;NA ENTRADA   DO JORDÃO   EM  FRENTE  AO AEROPORTO. AO LADO DA LOJA MP MULTIMARCAS.;ABALROAMENTO TRANSVERSAL;COLISÃO ENVOLVENDO MOTOCICLETA E CAMINHONETE.;;1;;;;;1;;;1;
;FINALIZADA;21/02/2019;08:35:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;6133;LADO OPOSTO A FOCO ALUGUEL DE CARROS;;VEÍCULO PEGOU FOGO NA VIA, BOMBEIRO JÁ CONTEVE AS CHAMAS;1;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;08:41:00;CORDEIRO;AV CAXANGA;1793;E/F A FÁCIL PNEUS;ABALROAMENTO LONGITUDINAL;SEM VÍTIMAS;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;08:54:00;SANTO ANTÔNIO;AV MARTINS DE BARROS;;PRAÇA DA REPÚBLICA;ABALROAMENTO LONGITUDINAL;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;09:20:00;AFOGADOS;AV SUL;;EM FRENTE A ESTAÇAO LARGO DA PAZ;ABALROAMENTO LONGITUDINAL;CAMINHAO E AUTO  RESERVA 01  NO QTH    GM MARIO JOSE;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;09:30:00;JARDIM SÃO PAULO;RUA LEOBINA PEREIRA;343;EM  FRENTE  A  PIZZARIA  DO  GORDO;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;10:00:00;AFOGADOS;AV SUL;;FRENTE A ESTAÇÃO  LARGO   DA PAZ;ABALROAMENTO LONGITUDINAL;COLISÃO SEM  VITIMAS   GM  PAULO  RICARDO  QTH;2;;;;;;;;;0;
COLISÃO;FINALIZADA;21/02/2019;10:04:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;1022;EM FRENTE AO POSTO IPIRANGA/PETRO MEGA;COLISÃO;SEM VITIMAS;1;;;;;;;;;0;
COLISÃO;FINALIZADA;21/02/2019;10:05:00;BOA VIAGEM;RUA ANTONIO FALCAO;455;EM FRENTE AO DEPOSITO DE FRUTAS E VERDURAS;COLISÃO;CAMINHAO E AUTO;1;;;;;;1;;;0;
COLISÃO;CANCELADA;21/02/2019;10:08:00;BOA VISTA;RUA VISCONDE DE GOIANA;80;PROX  A MERCEARIA   DO BRAS;COLISÃO;COLISÃO  SEM VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;21/02/2019;11:01:00;SANTO ANTÔNIO;PRC DA REPUBLICA;;FRENTE A PRAÇA DA REPÚBLICA;COLISÃO TRASEIRA;COLISÃO ENTRE DOIS VEÍCULOS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;21/02/2019;11:09:00;CASA FORTE;AV DEZESSETE DE AGOSTO;1495;EM FRENTE A AMERICANA EXPRESSE;COLISÃO;AUTO E ONIBUS;1;;;;;1;;;;0;
COLISÃO;CANCELADA;21/02/2019;12:13:00;ROSARINHO;RUA COUTO MAGALHAES;460;NA ESQUINA DO COLEGIO FAZER CRESCER;COLISÃO;ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
CHOQUE OBJETO FIXO;FINALIZADA;21/02/2019;12:19:00;SÃO JOSÉ;RUA IMPERIAL;;EM FRENTE A JUCEPE;CHOQUE OBJETO FIXO;;1;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;21/02/2019;12:33:00;BARRO;AV DR JOSE RUFINO;2533;EM FRENTE A RECEPÇÃO SOCORRO VENANCIO;ABALROAMENTO TRANSVERSAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;12:56:00;BAIRRO DO RECIFE;CAIS DO APOLO;;;ABALROAMENTO LONGITUDINAL;AUTO E CAMINHAO S/V;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;21/02/2019;13:25:00;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;124;EM FRENTE A LOJA REQUINTE MÓVEIS;COLISÃO TRASEIRA;ENTRE AUTOS S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;21/02/2019;13:36:00;BOA VISTA;RUA DO RIACHUELO;105;ESTAÇÃO DO BRT;COLISÃO TRASEIRA;ENTRE AUTO E MOTO S/V;1;1;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;21/02/2019;13:40:00;DERBY;RUA AMAURI DE MEDEIROS;110;EM FRENTE AO CONDOMINIO DERBY PARK;ABALROAMENTO TRANSVERSAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;14:39:00;JIQUIÁ;RUA SAO MIGUEL;;NO SEMÁFORO 425;ABALROAMENTO LONGITUDINAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;21/02/2019;14:42:00;ILHA DO LEITE;PRC CHORA MENINO;;EM FRENTE À UNIMED;COLISÃO;ENTRE AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;15:39:00;BOA VISTA;RUA PRINCESA IZABEL;;EM FRENTE A CÂMARA;ABALROAMENTO LONGITUDINAL;COLISÃO ENVOLVENDO DUAS MOTOS.;;2;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;15:42:00;CASA AMARELA;AV NORTE;4312;PRÓX AO SESC // EM FRENTE AO POSTO BR;ABALROAMENTO LONGITUDINAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;15:47:00;AFLITOS;AV CONS ROSA E SILVA;257;;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;16:33:00;JIQUIÁ;AV DR JOSE RUFINO;268;LADO OPOSTO AO COLEGIO VISAO;ABALROAMENTO LONGITUDINAL;ENTRE AUTO E ONIBUS DA METROPOLITNA;1;;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;21/02/2019;17:00:00;ESPINHEIRO;RUA DO ESPINHEIRO;;EM FRENTE À FARMÁCIA EXTRAFARMA;COLISÃO TRASEIRA;ÔNIBUS X AUTO S/V;1;;;;;1;;;;0;
COLISÃO;CANCELADA;21/02/2019;17:21:00;BARRO;RUA ANDRE DE ALBUQUERQUE;;PROX. A IGREJA DO BARRO;COLISÃO;AUTO E ONIBUS DA METROPOLITANA;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;17:21:00;BOA VISTA;RUA PRINCESA IZABEL;;EM FRENTE AO EDF FAÍSCA;ABALROAMENTO LONGITUDINAL;ÔNIBUS X AUTO S/V.;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;17:57:00;ROSARINHO;AV SANTOS DUMONT;256;E/F A PRC SANTOS DUMONT;ABALROAMENTO LONGITUDINAL;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;18:45:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;MINISTERIO PUBLICO FEDERAL  ESQUINA;ABALROAMENTO LONGITUDINAL;IDEIA X CITROEEN;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;19:03:00;ILHA DO RETIRO;RUA SPORT CLUBE DO RECIFE;;POSTE Nº B021543 NA CURVA A DIREITA SENTIDO TUNEL CHICO SCIENSE;ABALROAMENTO LONGITUDINAL;ENTRE AUTO E MOTO. C/V;1;1;;;;;;;;0;
COLISÃO;CANCELADA;21/02/2019;20:16:00;ILHA DO LEITE;AV FREI MATIAS TEVES;280;PROX AO ALBERT EINSTEEIN;COLISÃO;POLO X FRONTIER;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;21/02/2019;21:42:00;IPSEP;RUA HELIO BRANDAO;135;PROX AO RESTAURANTE CHAMBARIL E FEIJOADA DO JOAO;ABALROAMENTO LONGITUDINAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
COLISÃO;CANCELADA;21/02/2019;21:50:00;SOLEDADE;AV CONDE DA BOA VISTA;1209;E/F AO GRAU TÉCNICO / AO LADO DA GENNESBURGUER / SNT SUB;COLISÃO;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
CHOQUE OBJETO FIXO;FINALIZADA;21/02/2019;23:00:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;;CHOQUE OBJETO FIXO;VT DA PM X MEIO FIO;;;;;;;;1;1;0;
CHOQUE OBJETO FIXO;FINALIZADA;22/02/2019;01:22:00;FUNDÃO;RUA CORONEL URBANO RIBEIRO DE SENA;665 A;FRIGORÍFICO DOIS IRMÃOS;CHOQUE OBJETO FIXO;CONDUTOR PERDEU O CONTROLE DO VEÍCULO E CHOCOU-SE CONTRA UMA ÁRVORE, DERRUBOU OS FERROS DE PROTEÇÃO DA CALÇADA E QUEBROU DOIS BANCOS DE CONCRETO, E EM SEGUIDA O MESMO ABANDONOU O VEÍCULO NO LOCAL;1;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;05:10:00;AFOGADOS;RUA NICOLAU PEREIRA;;;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE AUTO E ÔNIBUS, SEM VÍTIMAS.;1;;;;;1;;;;0;
CHOQUE OBJETO FIXO;FINALIZADA;22/02/2019;05:17:00;TEJIPIÓ;AV LIBERDADE;533;PROX AO MERCADINHO COMPRE MAIS E PROX DA ANTIGA DELEGACIA DE ROUBOS E FURTOS;CHOQUE OBJETO FIXO;COLISÃO ENTRE AUTO E MOTO COM VITIMA, AUTO EVADIU DO LOCAL;1;1;;;;;;;;1;1
COLISÃO;CANCELADA;22/02/2019;06:16:00;ARRUDA;RUA DAS MOCAS;;;COLISÃO;;1;1;;;;;;;;1;
CHOQUE;FINALIZADA;22/02/2019;07:24:00;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;144;EM FRENTE A FARMACIA DO LARGO;CHOQUE;VEICULO CHOCOU- SE COM A ARVORE;;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;07:27:00;ARRUDA;AV BEBERIBE;1359;E/F AO CARTÓRIO CIVIL DO 15º DISTRITO JUDICIARIO;ABALROAMENTO LONGITUDINAL;SEM VÍTIMAS;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;07:44:00;SANTO AMARO;AV NORTE;;SOBRE A PONTE DO LIMOEIRO;COLISÃO TRASEIRA;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;22/02/2019;08:43:00;MADALENA;RUA BENFICA;;E/F AO MARTELINHO DE OURO;COLISÃO;SEM VÍTIMAS. GM LEMOS (PONTO FIXO) NO LOCAL;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;08:49:00;BEBERIBE;AV BEBERIBE;;LADO OPOSTO AO MAX SAUDE;COLISÃO TRASEIRA;SEM VITIMAS;2;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;09:06:00;IPSEP;AV RECIFE;3405;EM FRENTE AO RESIDENCIAL VILA DA SUDENE;COLISÃO TRASEIRA;SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;09:29:00;AFOGADOS;RUA DA PAZ;;EM FRENTE A INDUSTRIA ASA;COLISÃO TRASEIRA;COM UMA VITIMA;1;1;;;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;09:53:00;SANTO AMARO;AV JOAO DE BARROS;903;;COLISÃO TRASEIRA;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;10:13:00;IBURA;AV DOIS RIOS;;IGREJA PAZ E VIDA;COLISÃO TRASEIRA;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;10:37:00;ESTÂNCIA;AV RECIFE;3797;LADO OPOSTO AO MAKRO, EM FRENTE A TAMBAÍ.;ABALROAMENTO LONGITUDINAL;COLISÃO ENVOLVENDO AUTO E MOTONETA.;1;;1;;;;;;;1;
COLISÃO;CANCELADA;22/02/2019;10:42:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;70;EM FRENTE AO EDF RIO BRANCO;COLISÃO;SEM VITIMAS;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;10:52:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;;ABALROAMENTO LONGITUDINAL;SEM VÍTIMAS OS DOIS VEÍCULOS ESTÃO IMPOSSIBILITADOS DE SEREM REMOVIDOS DO LOCAL.;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;22/02/2019;10:53:00;IMBIRIBEIRA;RUA GENERAL GOES MONTEIRO;61;PRÓXIMO AO Nº 61;ABALROAMENTO TRANSVERSAL;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;11:37:00;BOA VIAGEM;RUA JOSE MARIA DE MIRANDA;;BAR DO PAULINHO;ABALROAMENTO LONGITUDINAL;AUTO E CAMINHÃO;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;11:47:00;BOMBA DO HEMETÉRIO;RUA ARLINDO CISNEIRO;237;;ABALROAMENTO LONGITUDINAL;CAMINHAO E AUTO;;;;;;1;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;11:48:00;PAISSANDU;AV GOVERNADOR AGAMENON MAGALHAES;3265;AO LADO DO CERPE;COLISÃO TRASEIRA;DOIS AUTOS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;13:17:00;BOA VISTA;AV MANOEL BORBA;;;ABALROAMENTO LONGITUDINAL;ENTRE AUTOS S/V.;2;;;;;;;;;0;
COLISÃO;PENDENTE;22/02/2019;13:29:00;JIQUIÁ;RUA SAO MIGUEL;1758;EM FRENTE AO ATACAREJO;COLISÃO;AUTO E MOTO S/V;1;1;;;;;;;;0;
ATROPELAMENTO;FINALIZADA;22/02/2019;14:47:00;GRAÇAS;RUA DAS CREOULAS;;EM FRENTE AO MACUNAÍMA, SENTIDO JAYME DA FONTE;ATROPELAMENTO;ATROPELAMENTO ENVOLVENDO MOTO E PEDESTRE.;;1;;;1;;;;;2;
ABALROAMENTO TRANSVERSAL;FINALIZADA;22/02/2019;15:30:00;SAN MARTIN;RUA ARSENIO CALACA;472;NA RUA DO BPTRAN;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE AUTO E MOTO S/V;1;1;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;15:31:00;VÁRZEA;RUA PROFESSOR CHAVES BATISTA;510;;ABALROAMENTO LONGITUDINAL;CAMINHÃO X AUTO S/V;1;;;;;;1;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;15:41:00;CORDEIRO;RUA MARIA QUITERIA;100;;ABALROAMENTO LONGITUDINAL;ENTRE AUTOS S/V.;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;15:44:00;;RUA VISCONDE DE JEQUITINHONHA;;;COLISÃO TRASEIRA;ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;15:53:00;BOA VIAGEM;AV BOA VIAGEM;1044;EDF JULIANA DIAS;ABALROAMENTO LONGITUDINAL;AUTO X MOTO S/V;1;1;;;;;;;;0;
COLISÃO;CANCELADA;22/02/2019;16:19:00;ÁGUA FRIA;RUA SAO SEBASTIAO;526;PRÓX À IGREJA DEUS É AMOR;COLISÃO;ENTRE AUTOS S/V;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;16:46:00;CORDEIRO;RUA GOMES TABORDA;298;;COLISÃO TRASEIRA;ENTRE AUTOS S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;16:52:00;ENCRUZILHADA;AV JOAO DE BARROS;1629;A RUA EM FRENTE A CONFEDERAÇÃO ESPIRITA PERNAMBUCANA;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO;CANCELADA;22/02/2019;17:04:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;PROX. AO SO CALDINHO E O PONTEIO;COLISÃO;COLISÃO SEM VITIMAS;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;17:10:00;BOA VIAGEM;RUA DOS NAVEGANTES;2563;;COLISÃO TRASEIRA;ENTRE DOIS AUTOS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;17:58:00;GUABIRABA;AV DA RECUPERACAO;;EM FRENTE AO Nº 212;COLISÃO TRASEIRA;ÔNIBUS X AUTO S/V;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;18:15:00;SANTO AMARO;AV NORTE;;EM FRENTE A PRAÇA CASTRO ALVES;ABALROAMENTO LONGITUDINAL;PALIO X ONIBUS PEDROSA;1;;;;;1;;;;0;
COLISÃO COM CICLISTA;FINALIZADA;22/02/2019;18:31:00;AFOGADOS;EST DOS REMEDIOS;1603;CONCESSIONÁRIA HYUNDAI;COLISÃO COM CICLISTA;COLISÃO ENVOLVENDO AUTO E CICLISTA.;1;;;1;;;;;;1;
COLISÃO TRASEIRA;FINALIZADA;22/02/2019;18:37:00;GRAÇAS;RUA AMELIA;;PROX AO COLEGIO PRESBITERIANO AGNES;COLISÃO TRASEIRA;HB 20 X FIESTA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;19:24:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;SEMÁFORO 174;ABALROAMENTO LONGITUDINAL;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;22/02/2019;19:44:00;SÃO JOSÉ;AV DANTAS BARRETO;;PROX AOS CAMELODROMOS;ABALROAMENTO TRANSVERSAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
ABALROAMENTO TRANSVERSAL;FINALIZADA;22/02/2019;20:07:00;AFLITOS;RUA DR JOSE MARIA;;E/F AO PORTAL DA PICANHA;ABALROAMENTO TRANSVERSAL;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;22/02/2019;20:24:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;ACADEMIA DA CIDADE;ABALROAMENTO LONGITUDINAL;ONIBUS X LOGAN;1;;;;;1;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;22/02/2019;22:06:00;GRAÇAS;AV BEIRA RIO;1219;;ABALROAMENTO TRANSVERSAL;SAVEIRO X FIAT STRADA;2;;;;;;;;;0;
COLISÃO;CANCELADA;22/02/2019;23:22:00;PINA;AV HERCULANO BANDEIRA;;E/F A JBS / APÓS O ATACADO DA CONSTRUÇÃO / NA DESCIDA DO VIADUTO;COLISÃO;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;23/02/2019;00:31:00;IBURA;AV DOM HELDER CAMARA;;EM FRENTE AO JUNIOR CAR;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE DOIS AUTOS, SEM VÍTIMAS.;2;;;;;;;;;0;
COLISÃO;CANCELADA;23/02/2019;01:24:00;AREIAS;AV TENENTE FELIPE BANDEIRA DE MELO;;PROX DA CENTRAL DO SANDUICHE;COLISÃO;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;CANCELADA;23/02/2019;06:35:00;MADALENA;RUA BENFICA;;EM  FRENTE  AO CLUBE  INTERNACIONAL;COLISÃO;COLISÃO SEM  VITIMAS;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;23/02/2019;07:10:00;IPSEP;AV RECIFE;;EM FRENTE  AO  POSTO  DE GASOLINA  IPIRANGA;ABALROAMENTO TRANSVERSAL;COLISÃO ENVOLVENDO AUTO E MOTO.;1;1;;;;;;;;1;
TOMBAMENTO;FINALIZADA;23/02/2019;07:45:00;AREIAS;AV RECIFE;844;EMJ VEÍCULOS;TOMBAMENTO;;;;;;;;1;;1;0;
COLISÃO TRASEIRA;FINALIZADA;23/02/2019;08:13:00;LINHA DO TIRO;RUA URIEL DE HOLANDA;1359;EM FRENTE AO CAMPO DO CAFÉ;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;23/02/2019;08:15:00;SANTO AMARO;AV CRUZ CABUGA;;LADO OPOSTO AO HOSPITAL NAVAL DO RECIFE;ABALROAMENTO TRANSVERSAL;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;CANCELADA;23/02/2019;08:43:00;BOA VIAGEM;AV BOA VIAGEM;3456;EM FRETE  A O EDF  REMBRANDT;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;23/02/2019;08:47:00;JORDÃO;AV MARIA IRENE;261;AO  LADO DA BASE DA AERONAUTICA.;COLISÃO TRASEIRA;COLISÃO ENVOLVENDO CAMINHONETE, MICRO-ÔNIBUS E MOTO.;2;1;;;;;;;;1;
COLISÃO;CANCELADA;23/02/2019;09:28:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;EM  FRENTE  AO  HOTEL  RECIFE  FLAT;COLISÃO;COLISÃO  SEM  VITIMAS;2;;;;;;;;;0;
